Es soll die Todesursache von Rauchern ermittelt werden. | Raucher, Todesursache, Krebs
Es soll der Alkoholgehalt einer Biersorte untersucht werden. | Biersorte, Alkoholgehalt, 4%
Es soll der Bremsweg von Motorrädern festgestellt werden. | Motorräder, Bremsweg, 10m
Es soll der Energiegehalt von aus Marokko angelieferten Orangen untersucht werden. | Orangen, Energiegehalt, 50 kcal / 100g
Es soll die Korrelation zwischen Körpergröße und Schuhgröße bei Schülern ermittelt werden. | Schüler, Korrelation zwischen Körpergröße und Schuhgröße, Positiv
Es soll die Häufigkeit von Unfällen auf bestimmten Straßenabschnitten untersucht werden. | Straßenabschnitt, Häufigkeit von Unfällen, 10 Unfälle pro Jahr
Es soll der Einfluss von Musik auf die Konzentrationsfähigkeit von Studierenden untersucht werden. | Studierende, Konzentrationsfähigkeit, gesteigerte Konzentrationsfähigkeit durch Musik
Es soll die Auswirkungen von unterschiedlichen Düngemitteln auf das Wachstum von Tomatenpflanzen untersucht werden. | Tomatenpflanzen, Wachstum, unterschiedliches Wachstum je nach Düngemittel
Es soll die Effektivität von verschiedenen Schmerzmitteln auf die Linderung von Kopfschmerzen untersucht werden. | Personen mit Kopfschmerzen, Schmerzlinderung, unterschiedliche Wirksamkeit der verschiedenen Schmerzmittel
Es soll die Auswirkungen von unterschiedlichen Trainingsmethoden auf die Leistungsfähigkeit von Athleten untersucht werden. | Athleten, Leistungsfähigkeit, unterschiedliche Leistungssteigerung durch verschiedene Trainingsmethoden
Es soll der Einfluss von sozialen Medien auf das Selbstbild von Jugendlichen untersucht werden. | Jugendliche, Selbstbild, beeinflusstes Selbstbild durch soziale Medien
Es soll die Präferenz von Käsesorten bei Verbrauchern ermittelt werden. | Verbraucher, Präferenz von Käsesorten, bevorzugte Käsesorte je nach Verbraucher
Es soll die Auswirkungen von Umweltverschmutzung auf die Gesundheit von Fischen untersucht werden. | Fische, Gesundheit, beeinträchtigte Gesundheit durch Umweltverschmutzung
